id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,source,source_url
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999955,4308645338,23,4310281187,153247197.0,1.0,0.99901,4.03e-05,0.00403,7336305.0,0.17056,4308788535.11576,4310424438.479701,,1.22,-17.96525,2020-03-13T03:02:50.373Z,0.88196,13.37779,2023-03-11T07:50:50.514Z,2026-03-19T22:47:49.582Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,55.49,4270229760,24,4270286628,335000260.0,56.27,54.74,-0.5209497319581615,-0.93015,-36681536.12854624,-0.85169,76966739.48347135,76967764.48347135,84000000.0,410.26,-86.46352,2021-05-10T03:13:07.904Z,1.15,4733.97299,2015-01-14T00:00:00.000Z,2026-03-19T22:47:50.165Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.00885575,4217038227,25,10142938727,20823129.0,0.00904103,0.00866047,-5.2841724037573e-05,-0.59315,-43342394.262373924,-1.01734,478092691532.2214,1149921963040.423,1150000000000.0,0.01090099,-19.15137,2026-02-09T16:50:09.904Z,0.00222126,296.77044,2025-09-14T08:56:57.416Z,2026-03-19T22:47:49.467Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,9.43,4074411857,26,4373257007,240428420.0,9.73,9.35,-0.2601119385662791,-2.68341,-111063438.86037588,-2.65354,431771961.1772119,463441061.1772119,720000000.0,144.96,-93.48469,2021-11-21T14:18:56.538Z,2.8,237.18174,2020-12-31T13:15:21.540Z,2026-03-19T22:47:49.658Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Token_Logo_2x.png?1765987788,1.0,4073718319,27,4083111132,75099119.0,1.001,0.99851,0.00050378,0.0504,-21196582.769291878,-0.51763,4074021977.762924,4083415490.763366,,1.021,-2.04308,2023-10-23T22:44:57.056Z,0.959426,4.21676,2024-12-05T22:31:13.430Z,2026-03-19T22:47:49.712Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.092851,4020892380,28,4642693303,80345868.0,0.096376,0.091594,-0.002651369375235413,-2.77623,-114476316.97266054,-2.76823,43303446051.95932,50000000000.0,50000000000.0,0.569229,-83.67216,2021-09-15T10:40:28.318Z,0.00986111,842.51842,2020-01-02T17:30:24.852Z,2026-03-19T22:47:49.880Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,235.59,3913462137,29,3913518088,361915179.0,254.59,230.96,-11.879897629154271,-4.80055,-191577128.4781022,-4.66688,16611853.2905448,16612090.7905448,21000000.0,3191.93,-92.61922,2016-10-29T00:00:00.000Z,16.08,1365.09646,2024-07-05T04:22:29.321Z,2026-03-19T22:47:50.023Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,0.955772,3728441807,30,9560144731,359252622.0,0.992757,0.939769,-0.02985558491374396,-3.02909,-115264589.15390587,-2.99879,3899984688.415443,10000000000.0,10000000000.0,5.35,-82.12363,2025-01-04T22:56:18.063Z,0.364846,161.96566,2023-10-19T10:40:30.078Z,2026-03-19T22:47:49.753Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,5.75e-06,3390757235,31,3392233521,124718041.0,5.85e-06,5.63e-06,-5.2203122663e-08,-0.89898,-32535973.192480564,-0.95043,589243650032071.6,589500198090109.2,,8.616e-05,-93.32078,2021-10-28T03:54:55.568Z,5.6366e-11,10209417.15445,2020-11-28T11:26:25.838Z,2026-03-19T22:47:49.633Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.075039,3173394082,32,7391198847,10433554.0,0.076763,0.074616,-0.00154025249861027,-2.01132,-64138849.33012724,-1.9811,42283805788.48993,98483834183.88068,100000000000.0,0.891544,-91.58626,2021-11-24T00:00:00.000Z,0.0121196,518.93327,2019-02-08T00:00:00.000Z,2026-03-19T22:47:50.815Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
